date,open,high,low,close,volume
2024-05-20 14:01:00,211.56,211.56,211.5,211.53,520
2024-05-20 14:02:00,211.5,211.55,211.5,211.55,900
2024-05-20 14:03:00,211.525,211.525,211.5,211.5,600
2024-05-20 14:06:00,211.45,211.46,211.395,211.41,2399
2024-05-20 14:07:00,211.47,211.5,211.465,211.5,600
2024-05-20 14:08:00,211.455,211.48,211.365,211.375,2200
2024-05-20 14:09:00,211.43,211.46,211.43,211.43,800
2024-05-20 14:10:00,211.47,211.515,211.47,211.505,300
2024-05-20 14:13:00,211.5,211.525,211.5,211.525,600
2024-05-20 14:14:00,211.525,211.525,211.493,211.493,500
2024-05-20 14:15:00,211.475,211.475,211.475,211.475,100
2024-05-20 14:17:00,211.51,211.51,211.505,211.51,500
2024-05-20 14:18:00,211.4,211.4,211.395,211.4,403
2024-05-20 14:19:00,211.45,211.5,211.43,211.44,2500
2024-05-20 14:20:00,211.45,211.5,211.42,211.445,5163
2024-05-20 14:21:00,211.475,211.49,211.44,211.44,800
2024-05-20 14:22:00,211.44,211.44,211.44,211.44,200
2024-05-20 14:23:00,211.441,211.441,211.441,211.441,134
2024-05-20 14:25:00,211.435,211.53,211.435,211.525,1383
2024-05-20 14:26:00,211.61,211.62,211.56,211.605,1843
2024-05-20 14:27:00,211.6133,211.6133,211.61,211.61,200
2024-05-20 14:28:00,211.65,211.675,211.62,211.675,2728
2024-05-20 14:29:00,211.65,211.68,211.65,211.68,726
2024-05-20 14:30:00,211.68,211.68,211.64,211.675,1691
2024-05-20 14:31:00,211.68,211.68,211.65,211.675,1430
2024-05-20 14:32:00,211.675,211.675,211.675,211.675,400
2024-05-20 14:33:00,211.71,211.745,211.665,211.745,1396
2024-05-20 14:34:00,211.67,211.67,211.595,211.595,700
2024-05-20 14:35:00,211.655,211.655,211.615,211.615,300
2024-05-20 14:37:00,211.645,211.65,211.59,211.59,800
2024-05-20 14:38:00,211.615,211.64,211.58,211.64,1115
2024-05-20 14:39:00,211.65,211.65,211.63,211.65,775
2024-05-20 14:40:00,211.645,211.645,211.645,211.645,231
2024-05-20 14:41:00,211.63,211.84,211.63,211.835,42302
2024-05-20 14:42:00,211.845,211.845,211.75,211.75,1400
2024-05-20 14:43:00,211.73,211.7499,211.64,211.65,2100
2024-05-20 14:44:00,211.65,211.75,211.62,211.655,1862
2024-05-20 14:45:00,211.6525,211.655,211.6525,211.655,500
2024-05-20 14:46:00,211.655,211.7,211.61,211.67,3597
2024-05-20 14:47:00,211.61,211.67,211.6,211.61,1200
2024-05-20 14:49:00,211.635,211.67,211.635,211.655,1242
2024-05-20 14:50:00,211.665,211.665,211.6541,211.6541,247
2024-05-20 14:51:00,211.63,211.63,211.6,211.63,700
2024-05-20 14:52:00,211.63,211.63,211.57,211.57,2991
2024-05-20 14:53:00,211.59,211.59,211.48,211.48,513
2024-05-20 14:54:00,211.52,211.595,211.52,211.595,1217
2024-05-20 14:55:00,211.56,211.56,211.55,211.55,800
2024-05-20 14:56:00,211.5221,211.535,211.49,211.49,1400
2024-05-20 14:57:00,211.525,211.525,211.49,211.525,900
2024-05-20 14:58:00,211.525,211.55,211.3901,211.3901,1778
